,index,question,topic
0,0,In a digital circuit which was to implement A B  AXORB  the designer implements A B AXORB What is the probability of error in it ,Combinational  and  sequential  circuits
1,1,In quants section  questions are very easy to solve If you are well west in maths Very basic maths application sums only they mostly ask Important topics are logarithms 5 questions  Profit and loss 3 questions  Operations on numbers 7 questions  Probability 3 questions  Permudation and combinations  3 questions If you prepare these topics well you will easily crack this section,Combinational  and  sequential  circuits
2,2,When for a transmission line the open circuit and short circuit impedance are 20W and 5 W respectively then the characteristic impedance of the line is ,Combinational  and  sequential  circuits
3,3,When a square wave is fed to an RC circuit  then ,Combinational  and  sequential  circuits
4,4,When a transistor is required to match a 100W signal source with a high impedance output circuit then the connection that would be used is ,Combinational  and  sequential  circuits
5,5,Which one of the following conditions for Z parameters would hold for a two port network containing linear bilateral passive circuit elements ,Combinational  and  sequential  circuits
6,6,a A short  circuited stub at the load,Combinational  and  sequential  circuits
7,7,When a transistor is required to match a 100W signal source with a high impedance output circuit then the connection that would be used is ,Combinational  and  sequential  circuits
8,8,Which one of the following conditions for Z parameters would hold for a two port network containing linear bilateral passive circuit elements ,Combinational  and  sequential  circuits
9,9,What   is the advantage of synchronous circuits over asynchronous circuits ,Combinational  and  sequential  circuits
10,10,What   is the advantage of synchronous circuits over asynchronous circuits ,Combinational  and  sequential  circuits
11,11,In a sequential search  the time it takes to search through n elements is,Combinational  and  sequential  circuits
12,12,In the Written Test  We had separate papers for circuit and noncircuit branches,Combinational  and  sequential  circuits
13,13,How can this circuit is implemented by latch,Combinational  and  sequential  circuits
14,14,Which is best 1 sequential search,Combinational  and  sequential  circuits
15,15,which combinations are correct,Combinational  and  sequential  circuits
16,16,What are the different types of Circuit Breakers,Combinational  and  sequential  circuits
17,17,where aevent  db file sequential read,Combinational  and  sequential  circuits
18,18,In this round they just selected only 13 people n they decide didnt take HR then instead of HR they took Combined GD of 13th ppl,Combinational  and  sequential  circuits
19,19,In my case all rounds were combined  therefore I have faced only one panel,Combinational  and  sequential  circuits
20,20,What is the smallest number by which 2880 must be divided in order to make it into a perfect square ,Number representations and computer  arithmetic
21,21,What is the maximum number of halfpint bottles of cream that can be filled with a 4gallon can of cream2 pt1 qt and 4 qt1 gal,Number representations and computer  arithmetic
22,22,In our college Day 1 companies recruit mass in number as compared to Day 2 companies  September started the dates of Day 1 companies were announced  three companies are infosys   wipro and Accenture,Number representations and computer  arithmetic
23,23,In the morning we were given a brief PPT about Accenture and then we were given instructions about the online test Test was conducted by Aspiring mindsAMCAT pattern It had Quants  Logical and verbal It was adaptive and hence it contained both hard and easy questions Since there was no sectional cutoff  it was pretty easy to get through Topics in quants were majorly numbers  logarithms  work  profit and loss,Number representations and computer  arithmetic
24,24,Write   the function for changing a number from hexadecimal to integer hoes,Number representations and computer  arithmetic
25,25,Write the function for changing a number from hexadecimal to integer htois,Number representations and computer  arithmetic
26,26,Describe an optimal algorithm to find the second minimum number in an array of numbers What is the exact number of comparisons required in the worst case Note that they didnt ask the order in BigOh notation They wanted the exact number of comparisons,Number representations and computer  arithmetic
